dataset,class_name,label,source_file,noise_model,severity,seed,per_file_seed,clean_file,noisy_file,difference_file,comparison_file,mean_absolute_difference,max_absolute_difference
Brain,Brain,1,test/Ungood/img/01302_68.png,mri,0.1,111,140604546,noise_examples\Brain\clean\test__Ungood__img__01302_68_9afc849e.png,noise_examples\Brain\noisy\test__Ungood__img__01302_68_9afc849e.png,noise_examples\Brain\difference\test__Ungood__img__01302_68_9afc849e.png,noise_examples\Brain\comparison\test__Ungood__img__01302_68_9afc849e.png,0.11180423945188522,0.5490196347236633
Brain,Brain,1,test/Ungood/img/00528_68.png,mri,0.1,111,92775072,noise_examples\Brain\clean\test__Ungood__img__00528_68_2d0962a5.png,noise_examples\Brain\noisy\test__Ungood__img__00528_68_2d0962a5.png,noise_examples\Brain\difference\test__Ungood__img__00528_68_2d0962a5.png,noise_examples\Brain\comparison\test__Ungood__img__00528_68_2d0962a5.png,0.10707294195890427,0.5333333611488342
Brain,Brain,1,test/Ungood/img/01061_68.png,mri,0.1,111,1165790430,noise_examples\Brain\clean\test__Ungood__img__01061_68_90989a13.png,noise_examples\Brain\noisy\test__Ungood__img__01061_68_90989a13.png,noise_examples\Brain\difference\test__Ungood__img__01061_68_90989a13.png,noise_examples\Brain\comparison\test__Ungood__img__01061_68_90989a13.png,0.11119478195905685,0.5333333611488342
Brain,Brain,1,test/Ungood/img/01200_68.png,mri,0.1,111,1845249967,noise_examples\Brain\clean\test__Ungood__img__01200_68_b7885d55.png,noise_examples\Brain\noisy\test__Ungood__img__01200_68_b7885d55.png,noise_examples\Brain\difference\test__Ungood__img__01200_68_b7885d55.png,noise_examples\Brain\comparison\test__Ungood__img__01200_68_b7885d55.png,0.11402075737714767,0.5137255191802979
Brain,Brain,1,test/Ungood/img/01058_84.png,mri,0.1,111,741891557,noise_examples\Brain\clean\test__Ungood__img__01058_84_191172d2.png,noise_examples\Brain\noisy\test__Ungood__img__01058_84_191172d2.png,noise_examples\Brain\difference\test__Ungood__img__01058_84_191172d2.png,noise_examples\Brain\comparison\test__Ungood__img__01058_84_191172d2.png,0.11135323345661163,0.5490196347236633
Brain,Brain,1,test/Ungood/img/00234_92.png,mri,0.1,111,40170140,noise_examples\Brain\clean\test__Ungood__img__00234_92_b87bcbbc.png,noise_examples\Brain\noisy\test__Ungood__img__00234_92_b87bcbbc.png,noise_examples\Brain\difference\test__Ungood__img__00234_92_b87bcbbc.png,noise_examples\Brain\comparison\test__Ungood__img__00234_92_b87bcbbc.png,0.11019245535135269,0.5098039507865906
Brain,Brain,1,test/Ungood/img/00999_60.png,mri,0.1,111,1379218232,noise_examples\Brain\clean\test__Ungood__img__00999_60_3e167f22.png,noise_examples\Brain\noisy\test__Ungood__img__00999_60_3e167f22.png,noise_examples\Brain\difference\test__Ungood__img__00999_60_3e167f22.png,noise_examples\Brain\comparison\test__Ungood__img__00999_60_3e167f22.png,0.11545964330434799,0.5568627715110779
Brain,Brain,1,test/Ungood/img/01029_84.png,mri,0.1,111,187482797,noise_examples\Brain\clean\test__Ungood__img__01029_84_f463f9ac.png,noise_examples\Brain\noisy\test__Ungood__img__01029_84_f463f9ac.png,noise_examples\Brain\difference\test__Ungood__img__01029_84_f463f9ac.png,noise_examples\Brain\comparison\test__Ungood__img__01029_84_f463f9ac.png,0.10915446281433105,0.5137255191802979
Brain,Brain,1,test/Ungood/img/01666_60.png,mri,0.1,111,579862983,noise_examples\Brain\clean\test__Ungood__img__01666_60_e96e6863.png,noise_examples\Brain\noisy\test__Ungood__img__01666_60_e96e6863.png,noise_examples\Brain\difference\test__Ungood__img__01666_60_e96e6863.png,noise_examples\Brain\comparison\test__Ungood__img__01666_60_e96e6863.png,0.11485546082258224,0.529411792755127
Brain,Brain,1,test/Ungood/img/00059_84.png,mri,0.1,111,1314992704,noise_examples\Brain\clean\test__Ungood__img__00059_84_8ce5a5ec.png,noise_examples\Brain\noisy\test__Ungood__img__00059_84_8ce5a5ec.png,noise_examples\Brain\difference\test__Ungood__img__00059_84_8ce5a5ec.png,noise_examples\Brain\comparison\test__Ungood__img__00059_84_8ce5a5ec.png,0.11348062753677368,0.5607843399047852
