patch_index,row,col,posthoc_state,representative_number,uncertainty,anomaly_probability,primary_anomaly_probability,reference_anomaly_probability,prediction_disagreement,source_reliability,update_gate,gt_lesion_fraction,transition_self_weight,transition_nonself_weight,top_source_patch,top_source_weight
0,0,0,stable_normal,,0.020859867334365845,0.35712912678718567,0.3744754195213318,0.343771368265152,0.03070405125617981,0.9791401624679565,0.14103712141513824,0.0,0.2713012397289276,0.72869873046875,0,0.2713012397289276
1,0,1,stable_normal,,0.009834080934524536,0.3610263168811798,0.37210437655448914,0.35052981972694397,0.021574556827545166,0.9901659488677979,0.138583704829216,0.0,0.2432047724723816,0.7567952275276184,1,0.2432047724723816
2,0,2,pseudo_anomaly_risk,,0.1302635371685028,0.3987644910812378,0.45123764872550964,0.3506161868572235,0.10062146186828613,0.8697364330291748,0.1533101201057434,0.0,0.23472195863723755,0.7652780413627625,2,0.23472195863723755
3,0,3,stable_normal,,0.01314634084701538,0.3503437638282776,0.37262704968452454,0.3300796151161194,0.04254743456840515,0.9868536591529846,0.14080914855003357,0.0,0.23970071971416473,0.7602992653846741,3,0.23970071971416473
4,0,4,stable_normal,,0.00609898567199707,0.3932762145996094,0.3966723382472992,0.39011144638061523,0.00656089186668396,0.9939010143280029,0.13304495811462402,0.0,0.2478255033493042,0.7521744966506958,4,0.2478255033493042
5,0,5,stable_normal,,0.007384687662124634,0.384893000125885,0.37093091011047363,0.39956992864608765,0.028639018535614014,0.9926153421401978,0.1345173716545105,0.0,0.18867629766464233,0.8113237023353577,5,0.18867629766464233
6,0,6,stable_normal,,0.06799322366714478,0.3885507881641388,0.3590646982192993,0.4161275625228882,0.05706286430358887,0.9320067763328552,0.1440417766571045,0.0,0.18602165579795837,0.8139783143997192,6,0.18602165579795837
7,0,7,stable_normal,,0.024547576904296875,0.3619227707386017,0.358508825302124,0.3683357536792755,0.00982692837715149,0.9754524230957031,0.14090172946453094,0.0,0.2510446608066559,0.7489553689956665,7,0.2510446608066559
8,0,8,stable_normal,,0.014404594898223877,0.3741786777973175,0.37833526730537415,0.37108755111694336,0.007247716188430786,0.9855954051017761,0.13730202615261078,0.0,0.24677880108356476,0.7532212138175964,8,0.24677880108356476
9,0,9,noise_sensitive_normal,,0.27692970633506775,0.4284926652908325,0.4135167598724365,0.4551964998245239,0.0416797399520874,0.7230702638626099,0.1759921759366989,0.0,0.26268044114112854,0.7373195886611938,9,0.26268044114112854
10,0,10,stable_normal,,0.00038439035415649414,0.4525294005870819,0.4516327381134033,0.45342832803726196,0.0017955899238586426,0.9996156096458435,0.12352985143661499,0.0,0.23093917965888977,0.7690608501434326,10,0.23093917965888977
11,0,11,stable_normal,,0.06093943119049072,0.3922656178474426,0.3793128430843353,0.41156861186027527,0.03225576877593994,0.9390605688095093,0.1422458291053772,0.0,0.20736783742904663,0.7926321625709534,11,0.20736783742904663
12,0,12,stable_normal,,0.028964638710021973,0.3954274356365204,0.3885767459869385,0.405335932970047,0.01675918698310852,0.971035361289978,0.13642320036888123,0.0,0.20839951932430267,0.7916004657745361,12,0.20839951932430267
13,0,13,stable_normal,,0.08289182186126709,0.3962419331073761,0.4001847207546234,0.40040189027786255,0.00021716952323913574,0.9171081781387329,0.14536480605602264,0.0,0.21113766729831696,0.7888623476028442,13,0.21113766729831696
14,0,14,pseudo_anomaly_risk,,0.3043253719806671,0.42277899384498596,0.45294684171676636,0.4048439860343933,0.04810285568237305,0.6956746578216553,0.18269097805023193,0.0,0.20132607221603394,0.7986739277839661,14,0.20132607221603394
15,0,15,stable_normal,,0.025809764862060547,0.43024909496307373,0.40589481592178345,0.45142239332199097,0.04552757740020752,0.9741902351379395,0.1306684911251068,0.0,0.18869638442993164,0.8113036155700684,15,0.18869638442993164
16,0,16,pseudo_anomaly_risk,,0.26615235209465027,0.4143187701702118,0.3980954885482788,0.4421975314617157,0.04410204291343689,0.7338476181030273,0.1764976680278778,0.0,0.2509751319885254,0.7490248680114746,16,0.2509751319885254
17,0,17,stable_normal,,0.01647433638572693,0.3967744708061218,0.39457836747169495,0.4011695981025696,0.006591230630874634,0.9835256338119507,0.13418684899806976,0.0,0.18364320695400238,0.8163567781448364,17,0.18364320695400238
18,0,18,stable_normal,,0.007310092449188232,0.37435632944107056,0.37413617968559265,0.3754067122936249,0.0012705326080322266,0.9926899075508118,0.13611097633838654,0.0,0.2602192461490631,0.7397807836532593,18,0.2602192461490631
19,0,19,pseudo_anomaly_risk,,0.10205838084220886,0.4084118604660034,0.3555229902267456,0.46209803223609924,0.10657504200935364,0.8979415893554688,0.14671020209789276,0.0,0.22670716047286987,0.7732928395271301,19,0.22670716047286987
20,0,20,stable_normal,,0.002223759889602661,0.3886851966381073,0.3900344669818878,0.387506365776062,0.0025281012058258057,0.9977762699127197,0.13311341404914856,0.0,0.17793434858322144,0.8220656514167786,20,0.17793434858322144
21,0,21,stable_normal,,0.0007086098194122314,0.4437958002090454,0.44784384965896606,0.44010812044143677,0.007735729217529297,0.9992914199829102,0.12481597065925598,0.0,0.1229902058839798,0.8770098090171814,21,0.1229902058839798
22,0,22,pseudo_anomaly_risk,,0.34935832023620605,0.41879093647003174,0.40472614765167236,0.4531097412109375,0.04838359355926514,0.650641679763794,0.19303086400032043,0.0,0.213682621717453,0.7863173484802246,22,0.213682621717453
23,0,23,stable_normal,,0.021885037422180176,0.39661431312561035,0.3917410671710968,0.4029987156391144,0.011257648468017578,0.9781149625778198,0.13508734107017517,0.0,0.19986344873905182,0.8001365661621094,23,0.19986344873905182
24,0,24,stable_normal,,0.006839126348495483,0.39299333095550537,0.3932327330112457,0.3934834897518158,0.00025075674057006836,0.9931608438491821,0.13320618867874146,0.0,0.1968919187784195,0.8031080961227417,24,0.1968919187784195
25,0,25,stable_normal,,0.032246679067611694,0.3843832314014435,0.37632644176483154,0.3941764235496521,0.017849981784820557,0.9677532911300659,0.13867077231407166,0.0,0.196450337767601,0.8035496473312378,25,0.196450337767601
26,0,26,stable_normal,,0.0014393031597137451,0.3949880003929138,0.3901461958885193,0.4001450836658478,0.009998887777328491,0.9985606670379639,0.1320439726114273,0.0,0.16326193511486053,0.8367380499839783,26,0.16326193511486053
27,0,27,stable_normal,,0.044242292642593384,0.378043532371521,0.36659830808639526,0.39355820417404175,0.026959896087646484,0.955757737159729,0.14167536795139313,0.0,0.20483478903770447,0.7951651811599731,27,0.20483478903770447
28,0,28,stable_normal,,0.012035012245178223,0.38551753759384155,0.37614649534225464,0.395315021276474,0.01916852593421936,0.9879649877548218,0.13517652451992035,0.0,0.2202901542186737,0.7797098159790039,28,0.2202901542186737
29,0,29,stable_normal,,0.01600050926208496,0.367525577545166,0.3804051876068115,0.356825053691864,0.02358013391494751,0.983999490737915,0.1385962963104248,0.0,0.22324898838996887,0.7767510414123535,29,0.22324898838996887
30,0,30,stable_normal,,0.0390683114528656,0.3898695111274719,0.3724289834499359,0.40853017568588257,0.036101192235946655,0.960931658744812,0.13894996047019958,0.0,0.18915505707263947,0.8108449578285217,30,0.18915505707263947
31,0,31,stable_normal,,0.005650907754898071,0.37319517135620117,0.37333226203918457,0.3737677037715912,0.0004354417324066162,0.9943491220474243,0.13601768016815186,0.0,0.20237722992897034,0.797622799873352,31,0.20237722992897034
32,0,32,stable_normal,,0.02206045389175415,0.36538103222846985,0.3469085395336151,0.38691508769989014,0.040006548166275024,0.9779395461082458,0.1399407833814621,0.0,0.24907629191875458,0.7509236931800842,32,0.24907629191875458
33,0,33,pseudo_anomaly_risk,,0.2326751947402954,0.35817739367485046,0.3423770070075989,0.39883866906166077,0.05646166205406189,0.7673248052597046,0.18039628863334656,0.0,0.23834599554538727,0.7616540193557739,33,0.23834599554538727
34,0,34,stable_normal,,0.049765050411224365,0.3682264983654022,0.3640615940093994,0.3774509131908417,0.01338931918144226,0.9502349495887756,0.1441819965839386,0.0,0.22217780351638794,0.7778221964836121,34,0.22217780351638794
35,0,35,stable_normal,,0.018057048320770264,0.3671117424964905,0.36867716908454895,0.36786964535713196,0.0008075237274169922,0.9819429516792297,0.13900241255760193,0.0,0.2283773273229599,0.7716226577758789,35,0.2283773273229599
36,0,36,stable_normal,,0.0255889892578125,0.3629623353481293,0.36459946632385254,0.3646646738052368,6.520748138427734e-05,0.9744110107421875,0.14091302454471588,0.0,0.26689231395721436,0.7331076860427856,36,0.26689231395721436
37,1,0,stable_normal,,0.0013027191162109375,0.3939635455608368,0.39893800020217896,0.3891603350639343,0.009777665138244629,0.9986972808837891,0.13217517733573914,0.0,0.23465295135974884,0.7653470635414124,37,0.23465295135974884
38,1,1,stable_normal,,0.017668455839157104,0.3740703761577606,0.35525065660476685,0.39530983567237854,0.040059179067611694,0.9823315143585205,0.13785700500011444,0.0,0.21405458450317383,0.7859454154968262,38,0.21405458450317383
39,1,2,stable_normal,,0.07394886016845703,0.3664659857749939,0.3739342987537384,0.36881327629089355,0.005121022462844849,0.926051139831543,0.14866945147514343,0.0,0.2250470668077469,0.7749529480934143,39,0.2250470668077469
40,1,3,stable_normal,,0.07796090841293335,0.374151349067688,0.39625856280326843,0.3629664480686188,0.03329211473464966,0.9220390915870667,0.14810913801193237,0.0,0.20397500693798065,0.7960249781608582,40,0.20397500693798065
41,1,4,noise_sensitive_normal,,0.15735504031181335,0.3450745940208435,0.37373533844947815,0.3378022015094757,0.03593313694000244,0.8426449298858643,0.1678019016981125,0.0,0.20309895277023315,0.7969010472297668,41,0.20309895277023315
42,1,5,stable_normal,,0.005793511867523193,0.3368253707885742,0.339028924703598,0.3355652689933777,0.003463655710220337,0.9942064881324768,0.14170533418655396,0.0,0.23066677153110504,0.7693332433700562,42,0.23066677153110504
43,1,6,stable_normal,,0.025722265243530273,0.43399301171302795,0.41353511810302734,0.4530710279941559,0.03953590989112854,0.9742777347564697,0.13010179996490479,0.0,0.1483602225780487,0.8516397476196289,43,0.1483602225780487
44,1,7,noise_sensitive_normal,,0.0932697057723999,0.39060959219932556,0.40706178545951843,0.38284167647361755,0.02422010898590088,0.9067302942276001,0.14808908104896545,0.0,0.12705697119235992,0.8729430437088013,44,0.12705697119235992
