patch_index,row,col,posthoc_state,representative_number,uncertainty,anomaly_probability,primary_anomaly_probability,reference_anomaly_probability,prediction_disagreement,source_reliability,update_gate,gt_lesion_fraction,transition_self_weight,transition_nonself_weight,top_source_patch,top_source_weight
0,0,0,stable_normal,,0.01894417405128479,0.025763992220163345,0.038847651332616806,0.02040456049144268,0.018443090841174126,0.9810558557510376,0.20136840641498566,0.0,0.23111405968666077,0.7688859701156616,0,0.23111405968666077
1,0,1,stable_normal,,0.014677047729492188,0.02836097963154316,0.036499589681625366,0.02391553483903408,0.012584054842591286,0.9853229522705078,0.19987475872039795,0.0,0.23924703896045685,0.7607529759407043,1,0.23924703896045685
2,0,2,stable_normal,,0.027359485626220703,0.027264878153800964,0.03599252179265022,0.023723529651761055,0.012268992140889168,0.9726405143737793,0.20293956995010376,0.0,0.23378273844718933,0.7662172317504883,2,0.23378273844718933
3,0,3,stable_normal,,0.022528529167175293,0.028127677738666534,0.03054516203701496,0.028093868866562843,0.002451293170452118,0.9774714708328247,0.20167464017868042,0.0,0.2357374131679535,0.7642625570297241,3,0.2357374131679535
4,0,4,stable_normal,,0.02961421012878418,0.021926257759332657,0.011859338730573654,0.03976258635520935,0.027903247624635696,0.9703857898712158,0.20457616448402405,0.0,0.1970275193452835,0.8029724955558777,4,0.1970275193452835
5,0,5,stable_normal,,0.02024209499359131,0.03058491460978985,0.040600333362817764,0.023682139813899994,0.01691819354891777,0.9797579050064087,0.20064964890480042,0.0,0.21561674773693085,0.784383237361908,5,0.21561674773693085
6,0,6,stable_normal,,0.023025810718536377,0.03634939342737198,0.05156610161066055,0.02598940208554268,0.025576699525117874,0.9769741892814636,0.20006661117076874,0.0,0.16966474056243896,0.830335259437561,6,0.16966474056243896
7,0,7,stable_normal,,0.013354659080505371,0.05945465341210365,0.0790787935256958,0.04316060245037079,0.03591819107532501,0.9866453409194946,0.19318990409374237,0.0,0.22522753477096558,0.7747724652290344,7,0.22522753477096558
8,0,8,stable_normal,,0.01844125986099243,0.053075339645147324,0.0779222920536995,0.034429993480443954,0.04349229857325554,0.9815587401390076,0.195598304271698,0.0,0.23341268301010132,0.7665873169898987,8,0.23341268301010132
9,0,9,lesion_candidate_preserved,,0.01355019211769104,0.08299814164638519,0.0693868026137352,0.10067939013242722,0.03129258751869202,0.9864498376846313,0.1884966790676117,0.0,0.18103289604187012,0.8189671039581299,9,0.18103289604187012
10,0,10,stable_normal,,0.008540719747543335,0.03882754594087601,0.046168044209480286,0.0326431542634964,0.013524889945983887,0.9914592504501343,0.19635415077209473,0.0,0.21739402413368225,0.7826060056686401,10,0.21739402413368225
11,0,11,stable_normal,,0.08951550722122192,0.034268345683813095,0.01481480523943901,0.07476547360420227,0.05995066836476326,0.9104844927787781,0.2157253473997116,0.0,0.15272729098796844,0.8472726941108704,11,0.15272729098796844
